S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills
202,A Society India,Frontend Developer,Mid-Senior level,2,5,Information Technology & Services, Information Technology Engineering ,Java Python JavaScript Angular
203,ChargePoint,Senior Software Engineer - Embedded,Associate,5,NA,Automotive, Engineering Information Technology ,Python C++ C/C++ SQL
204,ManpowerGroup India,C++ Developer,113 applicants,5,NA,Staffing & Recruiting, Information Technology Engineering ,C++
205,Knoxpo,Android Developer,Executive,,NA,Information Technology & Services, Engineering Information Technology ,
206,EagleView,Software Engineer II,Entry level,5,2,Information Technology & Services, Engineering Information Technology ,PostgreSQL Java Python Golang SQL JavaScript
207,GigIndia,Full Stack Developer,Entry level,247,NA,Internet, Engineering Information Technology ,Python SQL JavaScript Ruby NodeJS
208,Knoxpo,Android Developer,Executive,,NA,Information Technology & Services, Engineering Information Technology ,
209,EagleView,Software Engineer II,Entry level,5,2,Information Technology & Services, Engineering Information Technology ,PostgreSQL Java Python Golang SQL JavaScript
210,GigIndia,Full Stack Developer,Entry level,247,NA,Internet, Engineering Information Technology ,Python SQL JavaScript Ruby NodeJS
211,Increasingly,Frontend Developer JavaScript,Entry level,5,6,Computer Software, Engineering Information Technology ,CSS JavaScript Angular React NodeJS
212,Increasingly,Frontend Developer JavaScript,Entry level,5,6,Computer Software, Engineering Information Technology ,CSS JavaScript Angular React NodeJS
213,SenseHawk,Frontend Engineer (Vue.js),199 applicants,,NA,Computer Software, Engineering Information Technology ,CSS Angular
214,HERE Technologies,Lead Software Engineer,Associate,8,NA,Information Technology & Services, Engineering Information Technology ,Spark Python JavaScript
215,IncNut Digital,Lead Java Developer,Mid-Senior level,8,NA,Internet, Advertising Information Technology ,Java CSS Spring SQL JavaScript
216,Photon,Android Developer (Kotlin),Associate,4,NA,Information Technology & Services, Engineering Information Technology ,Java
217,IQM Corporation,Software Development Engineer in Test,220 applicants,,NA,Information Technology & Services, Engineering Information Technology ,SQL
218,Zyoin,Frontend Developer,137 applicants,2,NA,Staffing & Recruiting, Information Technology Design Project Management ,ReactJS CSS JavaScript
219,Razorpay,Senior Software Development Engineer,Associate,,NA,Computer Software, Engineering Information Technology ,Java Golang SQL PHP
220,Torry Harris Integration Solutions,"Software Developer - ETL, Data Streaming",Entry level,2,NA,Information Technology & Services, Engineering Information Technology ,
221,Global School of Animation & Games,PlaySimple Games - Unity Developer - Game Architecture (3-6 yrs) Bangalore (Frontend Developer),Entry level,2,NA,Entertainment, Engineering Information Technology ,
222,TheAgileWorks UK,Scala Developer in Pune,11 applicants,3,NA,Professional Training & Coaching, Engineering Information Technology ,Java Spring Scala
